LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 97.23866589662143, 0.11550678602367889, 31.116373086918856, 20.0, 20.0, 19.99972159710461,
1, 97.23866589662143, 0.11550678602367889, 31.116373086918856, 20.0, 20.0, 19.99972159710461,
2, 97.23866589662143, 0.11550678602367889, 31.116373086918856, 20.0, 20.0, 19.99972159710461,
3, 21.128375439845016, 0.1065408153285598, 2.9579725615783024, 19.999904633386898, 20.0, 8.133383684072001,
4, 21.128375439845016, 0.1065408153285598, 2.9579725615783024, 19.999904633386898, 20.0, 8.133383684072001,
5, 21.128375439845016, 0.1065408153285598, 2.9579725615783024, 19.999904633386898, 20.0, 8.133383684072001,
6, 8.697402540324353, 0.006328835757922032, 15.462048960576627, 20.0, 20.0, 19.999317832982776,
7, 125.64305949008498, 0.7678720213297784, 27.92067988668555, 20.0, 20.0, 19.999045118166627,
8, 87.34001542020046, 4.7370855821125675, 38.817784631200205, 20.0, 20.0, 20.0,
9, 44.64817908453057, 24.633478115603072, 29.76545272302038, 20.0, 20.0, 19.997306397306396,
10, 21.38875305623472, 0.46943765281173594, 50.69926650366748, 20.0, 20.0, 19.998285469352766,
11, 149.63051205687387, 3.5415505812277837, 49.87683735229129, 20.0, 20.0, 19.999537732578297,
12, 103.53753235547886, 21.20448662640207, 57.52085130859937, 20.0, 20.0, 20.0,
13, 36.466915805671576, 64.83007254341614, 40.51879533963508, 20.0, 20.0, 20.0,
14, 8.09159232984477, 82.85790545761046, 8.09159232984477, 20.0, 20.0, 20.0,
15, 19.089171974522294, 0.024789120330521604, 45.2484076433121, 20.0, 20.0, 29.859477062309484,
16, 22.119815668202765, 0.23399474425867386, 14.746543778801843, 19.99991522963233, 20.0, 14.126123359803481,
17, 21.2884483763847, 1.8689447134274633, 23.65383152931633, 19.99993642215688, 20.0, 20.549506149729677,
18, 120.0157195145444, 45.44973993450202, 120.0157195145444, 20.0, 20.0, 25.964458373620513,
19, 40.51112671326963, 72.01978082359047, 40.51112671326963, 20.0, 20.0, 64.705216967333,
20, 8.091308165057068, 82.85499561018437, 8.091308165057068, 20.0, 20.0, 20.0,
