LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 27704, 0, 4.747981733233468, 4.8828125, 4.704509511355508,
1, 27704, 0, 4.747981733233468, 4.8828125, 4.704509511355508,
2, 27704, 0, 4.747981733233468, 4.8828125, 4.704509511355508,
3, 480567, 430784, 1.0316589570236825, 11.160714285714286, 9.613939576101922,
4, 480567, 430784, 1.0316589570236825, 11.160714285714286, 9.613939576101922,
5, 480567, 430784, 1.0316589570236825, 11.160714285714286, 9.613939576101922,
6, 22753, 0, 0.2123389292071375, 0.2197265625, 0.2099764290603677,
7, 6001, 0, 6.134915014164306, 7.03125, 5.88391002077673,
8, 3891, 0, 8.529298380878952, 14.0625, 7.539186733303045,
9, 2993, 0, 8.720347477447378, 37.5, 6.943335993615324,
10, 3681, 0, 2.0887454156479217, 2.63671875, 1.952926562103124,
11, 10409, 0, 14.612354693054089, 18.75, 13.610738255033558,
12, 6954, 0, 20.222174288179467, 45.0, 17.086877278250302,
13, 4549, 0, 14.244888986590459, 90.0, 11.124463519313304,
14, 14237, 0, 3.1607782538456135, 100.0, 2.3900573613766736,
15, 69708, 19659, 1.8641769506369428, 2.63671875, 2.583203396779644,
16, 315084, 276487, 4.320276497695852, 37.5, 34.58196783781724,
17, 157796, 139387, 8.315800147025273, 90.0, 66.65989331978663,
18, 25955, 0, 46.881140435368906, 100.0, 39.835002946375944,
19, 32759, 0, 15.824658872370952, 100.0, 12.360515021459225,
20, 28475, 0, 3.160667251975417, 100.0, 2.3900573613766736,
21, 69708, 19659, 1.8641769506369428, 2.63671875, 2.583203396779644,
22, 315084, 276487, 4.320276497695852, 37.5, 34.58196783781724,
23, 157796, 139387, 8.315800147025273, 90.0, 66.65989331978663,
24, 25955, 0, 46.881140435368906, 100.0, 39.835002946375944,
25, 32759, 0, 15.824658872370952, 100.0, 12.360515021459225,
26, 28475, 0, 3.160667251975417, 100.0, 2.3900573613766736,
27, 12865, 0, 13.501840021375825, 14.35546875, 13.238409562914413,
28, 25497, 0, 5.2947405577126725, 12.335526315789473, 4.449131595425633,
29, 1549, 0, 9.489993544222079, 18.75, 8.14404432132964,
30, 43299, 0, 2.165177024873554, 18.75, 1.6726137377341643,
31, 1923, 0, 15.288611544461778, 75.0, 12.078882497945768,
32, 3259, 0, 4.8864682417919605, 81.25, 3.7207943925233646,
33, 63549, 0, 0.5753434357739697, 49.542682926829265, 0.432897229457731,
34, 12865, 0, 13.501840021375825, 14.35546875, 13.238409562914413,
35, 25497, 0, 5.2947405577126725, 12.335526315789473, 4.449131595425633,
36, 1549, 0, 9.489993544222079, 18.75, 8.14404432132964,
37, 43299, 0, 2.165177024873554, 18.75, 1.6726137377341643,
38, 1923, 0, 15.288611544461778, 75.0, 12.078882497945768,
39, 3259, 0, 4.8864682417919605, 81.25, 3.7207943925233646,
40, 63549, 0, 0.5753434357739697, 49.542682926829265, 0.432897229457731,
41, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
42, 1606, 0, 13.091531755915318, 25.0, 11.291621911922665,
43, 7209, 0, 21.098626716604244, 45.0, 17.925751325869182,
44, 1981, 0, 11.357900050479556, 50.0, 9.028892455858747,
45, 961, 0, 20.395421436004163, 100.0, 16.105176663927693,
46, 8189, 0, 15.826108193918671, 100.0, 12.360515021459225,
47, 3319, 0, 7.713166616450738, 100.0, 5.8986175115207375,
48, 3259, 0, 6.014114759128567, 100.0, 4.579439252336448,
49, 12511, 0, 2.0461993445767725, 100.0, 1.54291224686596,
50, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
51, 1606, 0, 13.091531755915318, 25.0, 11.291621911922665,
52, 7209, 0, 21.098626716604244, 45.0, 17.925751325869182,
53, 1981, 0, 11.357900050479556, 50.0, 9.028892455858747,
54, 961, 0, 20.395421436004163, 100.0, 16.105176663927693,
55, 8189, 0, 15.826108193918671, 100.0, 12.360515021459225,
56, 3319, 0, 7.713166616450738, 100.0, 5.8986175115207375,
57, 3259, 0, 6.014114759128567, 100.0, 4.579439252336448,
58, 12511, 0, 2.0461993445767725, 100.0, 1.54291224686596,
59, 28336, 0, 2.3754944847102624, 2.44140625, 2.354225367891368,
60, 662577, 578848, 2.3044114118057224, 18.75, 18.070300017752526,
61, 483474, 430611, 4.386223457724717, 44.642857142857146, 38.80446119782613,
62, 324015, 287316, 4.565066432109624, 45.0, 38.9506254114549,
63, 210603, 179404, 9.698342378788526, 96.15384615384616, 59.177169346660875,
64, 157796, 137619, 8.418464346371264, 100.0, 59.11093311974369,
65, 159555, 102806, 11.563410736109805, 100.0, 26.54676258992805,
66, 39095, 0, 29.46668371914567, 100.0, 23.862788963460098,
67, 28336, 0, 2.3754944847102624, 2.44140625, 2.354225367891368,
68, 662577, 578848, 2.3044114118057224, 18.75, 18.070300017752526,
69, 483474, 430611, 4.386223457724717, 44.642857142857146, 38.80446119782613,
70, 324015, 287316, 4.565066432109624, 45.0, 38.9506254114549,
71, 210603, 179404, 9.698342378788526, 96.15384615384616, 59.177169346660875,
72, 157796, 137619, 8.418464346371264, 100.0, 59.11093311974369,
73, 159555, 102806, 11.563410736109805, 100.0, 26.54676258992805,
74, 39095, 0, 29.46668371914567, 100.0, 23.862788963460098,
75, 13309, 0, 5.890750619881283, 6.25, 5.779579800958349,
76, 3901, 0, 20.097410920276854, 25.0, 18.859754630743325,
77, 3901, 0, 20.097410920276854, 25.0, 18.859754630743325,
78, 1606, 0, 26.183063511830635, 50.0, 22.58324382384533,
79, 3099, 0, 25.298483381736045, 50.0, 21.717451523545705,
80, 3099, 0, 25.298483381736045, 50.0, 21.717451523545705,
81, 1981, 0, 22.71580010095911, 100.0, 18.057784911717494,
82, 3847, 0, 20.3795165063686, 100.0, 16.105176663927693,
83, 7927, 0, 22.707203229468902, 100.0, 18.057784911717498,
84, 3847, 0, 20.3795165063686, 100.0, 16.105176663927693,
85, 3847, 0, 20.3795165063686, 100.0, 16.105176663927693,
86, 6639, 0, 7.7120048200030125, 100.0, 5.8986175115207375,
87, 28475, 0, 3.160667251975417, 100.0, 2.3900573613766736,
88, 13039, 0, 6.012731037656262, 100.0, 4.579439252336448,
89, 26559, 0, 7.71113370232313, 100.0, 5.898617511520741,
90, 13039, 0, 6.012731037656262, 100.0, 4.579439252336448,
91, 13309, 0, 5.890750619881283, 6.25, 5.779579800958349,
92, 3901, 0, 20.097410920276854, 25.0, 18.859754630743325,
93, 3901, 0, 20.097410920276854, 25.0, 18.859754630743325,
94, 1606, 0, 26.183063511830635, 50.0, 22.58324382384533,
95, 3099, 0, 25.298483381736045, 50.0, 21.717451523545705,
96, 3099, 0, 25.298483381736045, 50.0, 21.717451523545705,
97, 1981, 0, 22.71580010095911, 100.0, 18.057784911717494,
98, 3847, 0, 20.3795165063686, 100.0, 16.105176663927693,
99, 7927, 0, 22.707203229468902, 100.0, 18.057784911717498,
100, 3847, 0, 20.3795165063686, 100.0, 16.105176663927693,
101, 3847, 0, 20.3795165063686, 100.0, 16.105176663927693,
102, 6639, 0, 7.7120048200030125, 100.0, 5.8986175115207375,
103, 28475, 0, 3.160667251975417, 100.0, 2.3900573613766736,
104, 13039, 0, 6.012731037656262, 100.0, 4.579439252336448,
105, 26559, 0, 7.71113370232313, 100.0, 5.898617511520741,
106, 13039, 0, 6.012731037656262, 100.0, 4.579439252336448,
