LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 97.23866589662143, 0.11550678602367889, 31.116373086918856, 10.0, 10.0, 9.99997679948959,
1, 97.23866589662143, 0.11550678602367889, 31.116373086918856, 10.0, 10.0, 9.99997679948959,
2, 97.23866589662143, 0.11550678602367889, 31.116373086918856, 10.0, 10.0, 9.99997679948959,
3, 10.66078693860409, 0.053757513714990685, 1.4925101714045725, 9.999976158214091, 10.0, 4.053263987499501,
4, 10.66078693860409, 0.053757513714990685, 1.4925101714045725, 9.999976158214091, 10.0, 4.053263987499501,
5, 10.66078693860409, 0.053757513714990685, 1.4925101714045725, 9.999976158214091, 10.0, 4.053263987499501,
6, 8.697402540324353, 0.006328835757922032, 15.462048960576627, 10.0, 10.0, 9.999943151132713,
7, 125.64305949008498, 0.7678720213297784, 27.92067988668555, 10.0, 10.0, 9.999522559083314,
8, 87.34001542020046, 4.7370855821125675, 38.817784631200205, 10.0, 10.0, 10.0,
9, 44.64817908453057, 24.633478115603072, 29.76545272302038, 10.0, 10.0, 9.999775507913347,
10, 21.38875305623472, 0.46943765281173594, 50.69926650366748, 10.0, 10.0, 9.999678508278413,
11, 149.63051205687387, 3.5415505812277837, 49.87683735229129, 10.0, 10.0, 9.99996147697286,
12, 103.53753235547886, 21.20448662640207, 57.52085130859937, 10.0, 10.0, 10.0,
13, 36.466915805671576, 64.83007254341614, 40.51879533963508, 10.0, 10.0, 10.0,
14, 8.09159232984477, 82.85790545761046, 8.09159232984477, 10.0, 10.0, 10.0,
15, 10.894880339291124, 0.014148046865405241, 25.824901544986368, 10.0, 10.0, 14.954796741799976,
16, 11.068901114259214, 0.1170925076549735, 7.379267409506143, 9.9999788072958, 10.0, 6.9755457138567785,
17, 10.66145320900591, 0.9359849182117671, 11.846059121117678, 9.99998410546343, 10.0, 10.135527266210103,
18, 120.0157195145444, 45.44973993450202, 120.0157195145444, 10.0, 10.0, 13.95025392531819,
19, 40.51112671326963, 72.01978082359047, 40.51112671326963, 10.0, 10.0, 38.5382738994076,
20, 8.091308165057068, 82.85499561018437, 8.091308165057068, 10.0, 10.0, 10.0,
21, 10.894880339291124, 0.014148046865405241, 25.824901544986368, 10.0, 10.0, 14.954796741799976,
22, 11.068901114259214, 0.1170925076549735, 7.379267409506143, 9.9999788072958, 10.0, 6.9755457138567785,
23, 10.66145320900591, 0.9359849182117671, 11.846059121117678, 9.99998410546343, 10.0, 10.135527266210103,
24, 120.0157195145444, 45.44973993450202, 120.0157195145444, 10.0, 10.0, 13.95025392531819,
25, 40.51112671326963, 72.01978082359047, 40.51112671326963, 10.0, 10.0, 38.5382738994076,
26, 8.091308165057068, 82.85499561018437, 8.091308165057068, 10.0, 10.0, 10.0,
27, 138.25884181888847, 0.7312864360668481, 60.1943256898562, 10.0, 10.0, 10.0,
28, 108.43628662195552, 6.024238145664196, 13.735262972114366, 10.0, 10.0, 9.999942891408013,
29, 97.17753389283409, 7.9328599096191095, 32.392511297611364, 10.0, 10.0, 9.99920286966919,
30, 29.561883646273586, 14.189704150211321, 5.542853183676297, 10.0, 10.0, 10.0,
31, 52.1851274050962, 51.1201248049922, 39.13884555382215, 10.0, 10.0, 9.99920286966919,
32, 12.50935869898742, 65.35501687634243, 15.396133783369132, 10.0, 10.0, 9.99920286966919,
